Difficulty	Song Name	Link	Primary Color	Secondary Color	Total Notes	Last Note Time	Fever Fill	Fever Time	Long Notes
35	Omega(x2)PARTS [EXTENDED CUT] (Hard) by Camellia	/scl/fi/8a0qetlml7hgfmjcmxkd8/Omega-x2-PARTS-EXTENDED-CUT-Hard-by-Camellia.txt?rlkey=2129o9wp5v9g9xan9uina8rze&dl=1	Flow	Flow	6029	402.980	1752	60.447000	770
35	Exit This Earth's Atomosphere (Camellia's 'Planetary//200step' Remix) [EXTENDED CUT] (Hard) by Camellia	/scl/fi/pfk80wnpkpr7bzh5vct6i/Exit-This-Earth-s-Atomosphere-Camellia-s-Planetary200step-Remix-EXTENDED-CUT-Hard-by-Camellia.txt?rlkey=nu60x2vcy7cpuuf4podjgz2ie&dl=1	Rush	Chill	5993	401.687	1612	60.253050	1155
35	Bookmaker (2D Version) (Hard) by Kobaryo	/scl/fi/eg2ss2qr06p2jsjujrvgl/Bookmaker-2D-Version-Hard-by-Kobaryo.txt?rlkey=azqhjohixt0llwfgwugdpj9xh&dl=1	Vibe	Beat	2491	145.441	730	21.816150	300
35	Calamity Fortune [EXTENDED CUT] (Hard) by LeaF (7eaF)	/scl/fi/qqpbi81gred6mm14iwmx1/Calamity-Fortune-EXTENDED-CUT-Hard-by-LeaF-7eaF.txt?rlkey=2u3q2nmlwqjl5bqwf3opv30un&dl=1	Rush	Chill	6843	377.469	2024	56.620350	765
35	Cutter (Hard) by EmoCosine	/scl/fi/9t6gzvmj0li2bzr8c9j5d/Cutter-Hard-by-EmoCosine.txt?rlkey=dyg4gbw9jn1mg7ivtlvnn9rzr&dl=1	Rush	Rush	2297	139.387	606	20.908050	480
35	Everything Will Freeze (Vocal) [EXTENDED CUT] (Hard) by UNDEAD CORPORATION	/scl/fi/9p0isp4n98gwh9guq0y7p/Everything-Will-Freeze-Vocal-EXTENDED-CUT-Hard-by-UNDEAD-CORPORATION.txt?rlkey=op7afr1xt3rzdpix2xte5mlwz&dl=1	Flow	Rush	4387	193.371	1190	29.005650	816
35	The Empress (scream off version) (Hard) by UNDEAD CORPORATION	/scl/fi/7knam82zqkr5foquasv2g/The-Empress-scream-off-version-Hard-by-UNDEAD-CORPORATION.txt?rlkey=hfqn5xsqfczcpu5tlt7g8g33n&dl=1	Beat	Flow	2787	158.216	885	23.732400	131
35	Flowering Night Fever -Guitar Instrumental- (Hard) by UNDEAD CORPORATION	/scl/fi/4uqbmczi16be51t7h2ww6/Flowering-Night-Fever-Guitar-Instrumental-Hard-by-UNDEAD-CORPORATION.txt?rlkey=4zslz64u6532bk23ascito2fl&dl=1	Beat	Flow	2858	144.235	939	21.635250	40
34	BPM = RT (Hard) by Kurokotei	/scl/fi/9aj2uln7nnstkdjtdv9wk/BPM-RT-Hard-by-Kurokotei.txt?rlkey=oupcfm6u4dxg34djeh9x8b6lb&dl=1	Vibe	Flow	2351	155.442	707	23.316300	230
35	Energy Of The Star (Hard) by BlackY & Yooh & nora2r & kanone	/scl/fi/d3mnvdmfdgzza5trn1j55/Energy-Of-The-Star-Hard-by-BlackY-Yooh-nora2r-kanone.txt?rlkey=3w3mirkpi64n0beqz914j4lcb&dl=1	Vibe	Beat	3292	176.614	846	26.492100	753
34	Dark Sheep [EXTENDED CUT] (Hard) by Chroma	/scl/fi/pwuh6z17w26mvqbdo0l4m/Dark-Sheep-EXTENDED-CUT-Hard-by-Chroma.txt?rlkey=qjgsgr8dez4jznoblti8q0rz3&dl=1	Beat	Beat	4081	235.953	938	35.392950	1266
35	galvanical onEshot (Hard) by seatrus	/scl/fi/y13olhgrp5dx9xow44oug/galvanical-onEshot-Hard-by-seatrus.txt?rlkey=57s7zio19ipougspqs1xomq8o&dl=1	Chill	Beat	2161	148.678	619	22.301700	305
35	Revenant (Hard) by Juggernaut	/scl/fi/dac1vflr6hxbrs3h24o1g/Revenant-Hard-by-Juggernaut.txt?rlkey=32g86pqtke3ocenlameazpl99&dl=1	Rush	Beat	3255	183.754	841	27.563100	732
35	Last Attack (Hard) by USAO & Massive New Krew	/scl/fi/f8ie2wzsn7dwv5mds717z/Last-Attack-Hard-by-USAO-Massive-New-Krew.txt?rlkey=pql4byrlgetd6fdsmau8fd7st&dl=1	Vibe	Rush	3271	182.283	974	27.342450	348
34	Chroma 'Heavenly' Mashup [EXTENDED CUT] (Hard) by Chroma (Arranged by CosmosGalaxies & iiJohn0)	/scl/fi/i5e1vb6g519fq5xj7r3e4/Chroma-Heavenly-Mashup-EXTENDED-CUT-Hard-by-Chroma-Arranged-by-CosmosGalaxies-iiJohn0.txt?rlkey=d2lqsbtho4mveqqwqxgszfdd9&dl=1	Rush	Rush	4921	333.712	1217	50.056800	1267
34	CICADA3302 [EXTENDED CUT] (Hard) by Camellia	/scl/fi/8sjq7711yavojc60cm3fn/CICADA3302-EXTENDED-CUT-Hard-by-Camellia.txt?rlkey=szzdw50svpfhjndq9dlvaask7&dl=1	Rush	Beat	6158	417.506	1814	62.625900	712
34	FREEDOM DiVE[METAL DIMENSIONS] (Hard) by xi (xi_com_giko_31) remixed by cosMo@bousouP	/scl/fi/qeamijbhwp2o1fzej0gx7/FREEDOM-DiVE-METAL-DIMENSIONS-Hard-by-xi-xi_com_giko_31-remixed-by-cosMo-bousouP.txt?rlkey=er20r546v15qx7qvmwbd85vye&dl=1	Vibe	Flow	2714	148.935	840	22.340250	192
34	LeaF Style Super * Mashup [EXTENDED CUT] (Hard) by LeaF (7eaF) (Arranged by SilentWuffer)	/scl/fi/fae5732p78swvxh5xszch/LeaF-Style-Super-Mashup-EXTENDED-CUT-Hard-by-LeaF-7eaF-Arranged-by-SilentWuffer.txt?rlkey=2s2jc8407cmefmazvcj1a43z7&dl=1	Beat	Chill	4048	261.015	1196	39.152250	459
34	Soulless 5 (HalfDuck Cover) [EXTENDED CUT] (Hard) by ExileLord (Cover by HalfDuck)	/scl/fi/gyen0xocumodyzuj2zeg6/Soulless-5-HalfDuck-Cover-EXTENDED-CUT-Hard-by-ExileLord-Cover-by-HalfDuck.txt?rlkey=zkawm1lajsv5845t3uursm5m1&dl=1	Rush	Beat	6213	376.715	1813	56.507250	769
34	The Best of Cametek Mashup [EXTENDED CUT] (Hard) by Camellia (Arranged by HimitsuHiketsu)	/scl/fi/utp0dapmd82g408atjzuz/The-Best-of-Cametek-Mashup-EXTENDED-CUT-Hard-by-Camellia-Arranged-by-HimitsuHiketsu.txt?rlkey=kusr50hgehttr501avap6cs6b&dl=1	Rush	Rush	6585	414.971	1726	62.245650	1402
34	Amnehilesie (Hard) by MisomyL [MisoilePunch]	/scl/fi/io37a2apby057pahnuqc2/Amnehilesie-Hard-by-MisomyL-MisoilePunch.txt?rlkey=4glo5inm52b49r4nkpci3kepe&dl=1	Rush	Flow	2326	145.813	724	21.871950	153
34	Beautiful Memories (Hard) by HyuN	/scl/fi/qlnjjfmegfn92fgjsqr1z/Beautiful-Memories-Hard-by-HyuN.txt?rlkey=1goss4186zti4qztlv7kfb7hu&dl=1	Chill	Flow	2185	126.647	551	18.997050	532
34	Grace (Hard) by Laur [LAUR1200]	/scl/fi/4rd8o559w7f1vc6t56ezy/Grace-Hard-by-Laur-LAUR1200.txt?rlkey=nduwxahkpc5v9efc8wjji92mm&dl=1	Rush	Beat	2816	168.393	829	25.258950	327
34	Perfect Neglect (Hard) by Kobaryo	/scl/fi/f5ric3bvqx38cxp3mnwx7/Perfect-Neglect-Hard-by-Kobaryo.txt?rlkey=cnjinkw2fjfu3cej1j1137t2z&dl=1	Beat	Rush	2419	139.936	787	20.990400	57
34	Scattered Faith (Hard) by Kurokotei	/scl/fi/vxx77kjxzyyxi7fq9fphz/Scattered-Faith-Hard-by-Kurokotei.txt?rlkey=icsa4ltm06vl2ct2hfptvatoc&dl=1	Chill	Rush	1805	126.269	557	18.940350	134
34	Villain Virus (Hard) by Kobaryo (feat. Cametek)	/scl/fi/8ixcgjq1zpihvqwie56k0/Villain-Virus-Hard-by-Kobaryo-feat.-Cametek.txt?rlkey=xq8drm3ost7xwml201tpswlue&dl=1	Beat	Chill	2414	164.371	716	24.655650	266
34	Apocaliptix //-Another-// (Hard) by Juggernaut	/scl/fi/swrq1nt3nv209fg0xsait/Apocaliptix-Another-Hard-by-Juggernaut.txt?rlkey=gmini44k87urrbbxdxm67n3up&dl=1	Rush	Flow	2324	124.320	614	18.648000	481
34	Ice Angel (Hard) by Yooh	/scl/fi/hh874636yv0s3qfzx2jei/Ice-Angel-Hard-by-Yooh.txt?rlkey=okh37dfudzqk44g4z2ju5dc8z&dl=1	Chill	Rush	2420	145.756	806	21.863400	0
34	CRITICATION (Hard) by Kagetora	/scl/fi/6ublfyt6qxis7viu4e3hr/CRITICATION-Hard-by-Kagetora.txt?rlkey=hwaq2tx8nlgkldcekbxoiexnn&dl=1	Rush	Rush	3176	183.972	792	27.595800	798
33	Traveler ~stand aloof~ (Hard) by Se-U-Ra	/scl/fi/woppu0l6288f734lka27k/Traveler-stand-aloof-Hard-by-Se-U-Ra.txt?rlkey=cra0su9j7pky23hn3jvs7wp3y&dl=1	Flow	Chill	1869	117.607	519	17.641050	312
34	Hypervelocity [EXTENDED CUT] (Hard) by Synthion	/scl/fi/737omfss5syzuppov9me8/Hypervelocity-EXTENDED-CUT-Hard-by-Synthion.txt?rlkey=dwoobkb4bns3x534tkwryqbr2&dl=1	Flow	Chill	3802	280.893	1082	42.133950	553
34	VIVIDVELOCITY (Hard) by Synthion	/scl/fi/84zqaz0pvdrvwrtn3f27i/VIVIDVELOCITY-Hard-by-Synthion.txt?rlkey=4bw5mmufxyjx2j7i3gxt669ib&dl=1	Rush	Flow	2033	126.545	507	18.981750	512
33	Galaxy Collapse (Classic Map) [EXTENDED CUT] (Hard) by Kurokotei	/scl/fi/74zjakkkqxv0npcztvm4p/Galaxy-Collapse-Classic-Map-EXTENDED-CUT-Hard-by-Kurokotei.txt?rlkey=rwqpoz8bra3xztcec4vhcueq3&dl=1	Rush	Rush	2130	154.784	582	23.217600	383
33	We Could Get More Machinegun Psystyle! (And More Genre Switches) (Hard) by Camellia	/scl/fi/2g2d7clphwrshjw0souko/We-Could-Get-More-Machinegun-Psystyle-And-More-Genre-Switches-Hard-by-Camellia.txt?rlkey=xi6nbqtsrj0ljhtv59eg1uk7m&dl=1	Vibe	Chill	2525	166.010	726	24.901500	346
33	FREEDOM DiVE [METAL DIMENSIONS] (Classic Map) [EXTENDED CUT] (Hard) by xi (xi_com_giko_31) (Remixed by cosMo@BousouP)	/scl/fi/t5lnr7x2bhirxg0qq3ew3/FREEDOM-DiVE-METAL-DIMENSIONS-Classic-Map-EXTENDED-CUT-Hard-by-xi-xi_com_giko_31-Remixed-by-cosMo-BousouP.txt?rlkey=qe3ybzlzpa2br2ni0t2gpku7q&dl=1	Vibe	Flow	2105	148.927	575	22.339050	379
33	GHOST (Hard) by Camellia	/scl/fi/jmt71fhhqg71iuf6649m8/GHOST-Hard-by-Camellia.txt?rlkey=k4zxeglo04841xw1tdtaamnl2&dl=1	Chill	Rush	2668	191.766	723	28.764900	498
33	Kurokotei x Se-U-Ra Mashup: When Two Worlds Collide [EXTENDED CUT] (Hard) by Kurokotei and Se-U-Ra (Arranged by iiJohn0)	/scl/fi/xd9hrx8g7s0wknltm5qtg/Kurokotei-x-Se-U-Ra-Mashup-When-Two-Worlds-Collide-EXTENDED-CUT-Hard-by-Kurokotei-and-Se-U-Ra-Arranged-by-iiJohn0.txt?rlkey=bjefw1f46a7rkpkngdnjj1oqo&dl=1	Rush	Flow	4492	342.324	1387	51.348600	328
33	Amatium (Hard) by HyuN	/scl/fi/sdg7nc08v2rl6uvtfs2x8/Amatium-Hard-by-HyuN.txt?rlkey=5ijk358kp2l1png97wtn43tum&dl=1	Chill	Beat	1960	118.181	491	17.727150	486
33	RoBeats: The Light Speed Mashup [EXTENDED CUT] (Hard) by Various Artists (Arranged by ZirconEscalus and Got1Butter)	/scl/fi/91g220czhcegyvozceipo/RoBeats-The-Light-Speed-Mashup-EXTENDED-CUT-Hard-by-Various-Artists-Arranged-by-ZirconEscalus-and-Got1Butter.txt?rlkey=3qgj45r7bplwnn64ll29r9p5q&dl=1	Rush	Rush	5486	409.146	1630	61.371900	592
33	Galaxy Friends [Game Edition] (Hard) by Kobaryo	/scl/fi/sbgi0s5dj0cri9ei53882/Galaxy-Friends-Game-Edition-Hard-by-Kobaryo.txt?rlkey=zfvb21i5ttogbyp808y5y77b8&dl=1	Flow	Rush	1983	124.500	564	18.675000	292
33	Longinus (Hard) by xi (xi_com_giko_31)	/scl/fi/u1vy9v4ujuzxg3e7sjhpc/Longinus-Hard-by-xi-xi_com_giko_31.txt?rlkey=nffggw96u6um2to010wcj336j&dl=1	Vibe	Vibe	3100	184.528	1001	27.679200	94
33	Restriction (Hard) by Team Grimoire	/scl/fi/vf922ys2uejejkyapdy11/Restriction-Hard-by-Team-Grimoire.txt?rlkey=1i4dkcy1hhrqe6am3krihc2an&dl=1	Beat	Vibe	2070	147.887	641	22.183050	148
33	Overrrload!! (Hard) by MisoilePunch	/scl/fi/wqwbc3xwgs1totygzlven/Overrrload-Hard-by-MisoilePunch.txt?rlkey=f2ftm306ofeqds6ygprrh2yed&dl=1	Rush	Vibe	2209	130.400	677	19.560000	177
33	We Magicians Still Alive in 2021 [EXTENDED CUT] (Hard) by Camellia	/scl/fi/degq52923v935d17af885/We-Magicians-Still-Alive-in-2021-EXTENDED-CUT-Hard-by-Camellia.txt?rlkey=4kpfr8wqi5k7f3yy2q2yrselk&dl=1	Flow	Rush	4200	319.952	1249	47.992800	452
33	critical divEr (Hard) by seatrus (feat. Risa Yuzuki)	/scl/fi/fvshlfypbcqlrfrfpi9b8/critical-divEr-Hard-by-seatrus-feat.-Risa-Yuzuki.txt?rlkey=cd66jilt147aq5g354338anpp&dl=1	Vibe	Chill	1857	144.113	551	21.616950	205
33	Devotion (Hard) by Juggernaut	/scl/fi/nfnpx5lgh0nsklqscm573/Devotion-Hard-by-Juggernaut.txt?rlkey=827y62ehezxpyf7jclmrthi04&dl=1	Rush	Rush	2088	123.555	604	18.533250	276
33	Pixel Heart [EXTENDED CUT] (Hard) by EmoCosine	/scl/fi/v8fb3v0dvqg5c4stxgz7k/Pixel-Heart-EXTENDED-CUT-Hard-by-EmoCosine.txt?rlkey=o5827cmi5pqae607szuqtljao&dl=1	Beat	Rush	4368	276.785	1114	41.517750	1024
33	OMG (Hard) by Halv	/scl/fi/t1zfll67r7325gaa1lka1/OMG-Hard-by-Halv.txt?rlkey=bexqjclz4hh5hy4teu7liq46p&dl=1	Flow	Flow	2481	138.560	617	20.784000	631
33	Saturn V2 short ver. (Hard) by Egg Yolk	/scl/fi/03eeycliixj1s9vkm2znf/Saturn-V2-short-ver.-Hard-by-Egg-Yolk.txt?rlkey=18fpvdn6z03rbfo41pm49b3v2&dl=1	Rush	Beat	1632	124.383	465	18.657450	237
32	Devil's Palm (Hard) by Kurokotei	/scl/fi/fm508lrz8hc8vdlf7fum8/Devil-s-Palm-Hard-by-Kurokotei.txt?rlkey=hugvw9nrienxt43z8ce582opm&dl=1	Beat	Rush	1954	142.856	589	21.428400	187
33	Sushi Tornado (Hard) by Halv	/scl/fi/r3plsj4ei9wlsp7blovbn/Sushi-Tornado-Hard-by-Halv.txt?rlkey=ttp0jgv8y3r0c5gxjp07j35i8&dl=1	Vibe	Beat	2105	126.705	560	19.005750	426
32	Bad Elixir (Hard) by xi (xi_com_giko_31)	/scl/fi/vvi1n00kg38occdgr235m/Bad-Elixir-Hard-by-xi-xi_com_giko_31.txt?rlkey=zo18k6ribulbh4841estieara&dl=1	Vibe	Rush	1689	127.113	506	19.066950	172
32	Blue Zenith (Hard) by xi (xi_com_giko_31)	/scl/fi/w88ptzg1vo0h3b79jz8tz/Blue-Zenith-Hard-by-xi-xi_com_giko_31.txt?rlkey=pnxa17ivemk0bmqp1c3bmqq69&dl=1	Chill	Chill	2553	182.350	767	27.352500	250
32	Doppelganger (Hard) by LeaF (7eaF)	/scl/fi/tfbalthlctrceagihsdnb/Doppelganger-Hard-by-LeaF-7eaF.txt?rlkey=mto1hsd52l8b6wzm4hlrt1b8p&dl=1	Beat	Rush	2423	144.131	640	21.619650	503
32	Speedrun (Hard) by AmyKawashima	/scl/fi/bcxlkc0nxfbh5gukp942j/Speedrun-Hard-by-AmyKawashima.txt?rlkey=0g7gdkd8r95ul2p2vbdb9nj1m&dl=1	Chill	Chill	1799	128.161	600	19.224150	0
32	Alteregoism (Hard) by Laur [LAUR1200]	/scl/fi/2b2witovu493musb8x2ky/Alteregoism-Hard-by-Laur-LAUR1200.txt?rlkey=8dyh8hc3kswogx7f9fvaw1kh3&dl=1	Chill	Beat	2182	150.518	677	22.577700	150
32	The Silentroom Collection [EXTENDED CUT] (Hard) by Silentroom (Arranged by radioactive_am0 and poscle)	/scl/fi/3nnyetqi17tj0vyisouja/The-Silentroom-Collection-EXTENDED-CUT-Hard-by-Silentroom-Arranged-by-radioactive_am0-and-poscle.txt?rlkey=e9jba8apoj2df46x6axhyl47n&dl=1	Rush	Rush	3906	271.172	1075	40.675800	680
32	Calamity Fortune (Hard) by LeaF (7eaF)	/scl/fi/c0ng5n0t9nin0awxxu6ik/Calamity-Fortune-Hard-by-LeaF-7eaF.txt?rlkey=abxtinmjdntdbmlo155xb4avx&dl=1	Rush	Chill	2240	133.171	720	19.975650	79
32	Dark Dungeon (Hard) by Ardolf	/scl/fi/9i3aaxrhuecd3jiu5nxze/Dark-Dungeon-Hard-by-Ardolf.txt?rlkey=89iyw2ghcwt8054eiv1oha2iu&dl=1	Rush	Flow	2141	135.192	606	20.278800	322
32	Embraced by the Flame (English version) (Hard) by UNDEAD CORPORATION	/scl/fi/k88dok5bsvdztas8kk2lj/Embraced-by-the-Flame-English-version-Hard-by-UNDEAD-CORPORATION.txt?rlkey=ii4yma4ktcflsm66lej2i2nl7&dl=1	Rush	Beat	2434	143.983	760	21.597450	152
32	Last Judgement (Hard) by Laur [LAUR1200] vs Juggernaut	/scl/fi/yq4fstxksljz1crmi9xbj/Last-Judgement-Hard-by-Laur-LAUR1200-vs-Juggernaut.txt?rlkey=p4tv0lvcti1oe8vp2249rksbj&dl=1	Chill	Beat	2032	138.314	619	20.747100	175
32	Grimoire (Hard) by Gardens [Sound Space]	/scl/fi/tfr9qrettugkms1julce6/Grimoire-Hard-by-Gardens-Sound-Space.txt?rlkey=juziuaftrr3jgx2v79o9kam74&dl=1	Beat	Chill	2346	183.242	703	27.486300	237
32	Viyella's Destiny (Hard) by Laur [LAUR1200]	/scl/fi/msx10r0xl6x09sbsr9zvx/Viyella-s-Destiny-Hard-by-Laur-LAUR1200.txt?rlkey=r4vwq50wso6lefhmlz5p9l1j9&dl=1	Rush	Flow	2571	153.226	703	22.983900	460
32	Crunchy Crown Coaster (Hard) by Kobaryo	/scl/fi/0b59y2y39yujp7f89nlxk/Crunchy-Crown-Coaster-Hard-by-Kobaryo.txt?rlkey=6zrtn1uyk6yu22cfomtfdo42r&dl=1	Rush	Rush	2007	117.936	564	17.690400	314
32	iRELLiA (Hard) by HyuN	/scl/fi/ft5rkldqc5okd9aya1wby/iRELLiA-Hard-by-HyuN.txt?rlkey=ixohkp7uqv28ox808t4vzouhx&dl=1	Rush	Chill	1728	122.154	545	18.323100	94
32	Melty Lover (Hard) by seatrus	/scl/fi/ha5bqtv4n2mgmkmvvatq2/Melty-Lover-Hard-by-seatrus.txt?rlkey=velxdebxb1ahl3254xsz5y810&dl=1	Flow	Beat	1830	102.643	500	15.396450	331
32	Spooky Dance Party (Hard) by seatrus	/scl/fi/sxqzaovug9q65na9iekjr/Spooky-Dance-Party-Hard-by-seatrus.txt?rlkey=rgynszi29fhoi39y2st4jn51t&dl=1	Flow	Rush	2027	124.346	576	18.651900	299
32	permitted (Hard) by seatrus	/scl/fi/edk2tbkp0xs89xf3aq7mr/permitted-Hard-by-seatrus.txt?rlkey=tyzxo6ir1vgboq1mnxzoo48af&dl=1	Beat	Vibe	1693	120.534	484	18.080100	242
32	%UnDeciphered-CryptoGraph in the Edifice% (Hard) by seatrus	/scl/fi/yoqxpxc5eoz0rmp7z6gfr/UnDeciphered-CryptoGraph-in-the-Edifice-Hard-by-seatrus.txt?rlkey=g062uycwbpl58jmzdubmjcia2&dl=1	Rush	Flow	2025	121.183	569	18.177450	319
32	Glorious (Hard) by Kagetora & Ashrount	/scl/fi/6432ulxd17ngrhph7s591/Glorious-Hard-by-Kagetora-Ashrount.txt?rlkey=rp6ijzpf27wjdae33qs9eyvzv&dl=1	Flow	Chill	2272	136.217	558	20.432550	597
32	Mirror Of Silent (Hard) by HyuN	/scl/fi/9wf6z3bm5w55aj5qqyg13/Mirror-Of-Silent-Hard-by-HyuN.txt?rlkey=gphcpngh9pyrch44819k719ei&dl=1	Rush	Flow	1897	140.238	597	21.035700	105
32	NeruNeru-Chan travels to the Luminous Stars! (Hard) by Halv	/scl/fi/tbmia6950iv1iw719a9q6/NeruNeru-Chan-travels-to-the-Luminous-Stars-Hard-by-Halv.txt?rlkey=2xlqonpt21glcnsuqnbrqpoo6&dl=1	Beat	Beat	2620	192.276	689	28.841400	553
